"elite","nonsuspended","suspended","dif"
"khamenei_ir",0.0677577838285782,0.201766620176662,0.134008836348084
"saeednamaki",0.0527702142772582,0.097164109716411,0.0443938954391528
"FarsNews_Agency",0.269208002841245,0.300325430032543,0.0311174271912976
"ahmadamirabadi1",0.0354563750443945,0.0632264063226406,0.0277700312782462
"MehrnewsCom",0.0394814727122055,0.0609019060901906,0.0214204333779851
"TayebehSiavash",0.064679767964958,0.0855416085541609,0.0208618405892029
"yjcagency",0.0742867290162188,0.0925151092515109,0.0182283802352921
"GhazizadehSA",0.00825736948028886,0.0241748024174802,0.0159174329371914
"Tasnimnews_Fa",0.291689357168225,0.305904230590423,0.0142148734221976
"Khojasteh_ir",0.0378477565999763,0.0502092050209205,0.0123614484209442
"Nahid_Tajedin",0.050520894992305,0.0627615062761506,0.0122406112838457
"Jafarzadeh_ir",0.0331360246241269,0.0432357043235704,0.0100996796994435
"AK_Hosseinzadeh",0.0513140760033148,0.0613668061366806,0.0100527301333658
"Badamchi_Media",0.0455605540428555,0.0548582054858206,0.0092976514429651
"saeidiftm",0.0326328874156505,0.0418410041841004,0.00920811676844989
"oladghobad_f",0.0479045815082278,0.0562529056252906,0.00834832411706279
"ahadazadikhah",0.00990884337634663,0.0181311018131102,0.00822225843676355
"mazaniahmad",0.0722268260921037,0.0804277080427708,0.00820088195066709
"Ghheidari",0.0517935361666864,0.0599721059972106,0.0081785698305242
"sfaridmousavi",0.023925654078371,0.0320781032078103,0.0081524491294393
"ParsaeiB",0.0401325914525867,0.0478847047884705,0.00775211333588376
"zonnoour",0.00581271457322126,0.0134821013482101,0.00766938677498887
"SmjAbtahi",0.00256304013259145,0.0102278010227801,0.00766476089018865
"MousaviLargani",0.00555226707706878,0.0125523012552301,0.00700003417816134
"ma_vakili",0.0687877352906357,0.0757787075778708,0.00699097228723503
"MB_Nobakht",0.0853083935124896,0.0920502092050209,0.00674181569253128
"Dr_Vaezi",0.0184976914881023,0.0251046025104603,0.00660691102235797
"elyashazrati",0.0678406534864449,0.0743840074384007,0.00654335395195586
"H_Zarabadi",0.0297383686515923,0.0362622036262204,0.00652383497462808
"drsadatinejad",0.00520303066177341,0.0116225011622501,0.00641947050047671
"S_FatemeHoseini",0.0392269444773292,0.0455602045560205,0.00633326007869123
"hajibabaei_ir",0.0122410323191666,0.0181311018131102,0.00589006949394361
"icana_ir",0.0260329110926956,0.0316132031613203,0.00558029206862469
"Zahedi_ir",0.00803243755179354,0.0134821013482101,0.0054496637964166
"Alirabiei_ir",0.0746951580442761,0.0799628079962808,0.00526764995200472
"drmdehghan",0.0208476382147508,0.0260344026034403,0.00518676438868946
"j_mohebinia",0.0120575352196046,0.0172013017201302,0.00514376650052558
"HassanNooroozi",0.0047235704984018,0.0097629009762901,0.0050393304778883
"a_rahimi_mp",0.0219486208121226,0.0269642026964203,0.00501558188429762
"falahati_farhad",0.00437433408310643,0.00929800092980009,0.00492366684669366
"Jkarimi_ir",0.00391855096483959,0.00883310088331009,0.0049145499184705
"nikfaar_ir",0.00120161003906712,0.00604370060437006,0.00484209056530294
"mounesan_ir",0.016094471409968,0.0209205020920502,0.00482603068208217
"ehsanghazizade",0.00664733041316444,0.0111576011157601,0.00451027070259567
"Chenarani_ir",0.00272877944832485,0.00697350069735007,0.00424472124902522
"SoroushAbolfazl",0.00581271457322126,0.0097629009762901,0.00395018640306883
"BijanZanganeh",0.0432697999289689,0.0469549046954905,0.0036851047665216
"AliNajafi_ir",0.0177992186575115,0.0213854021385402,0.00358618348102867
"HajiDeligani",0.00665324967444063,0.0102278010227801,0.00357455134833947
"hajimirzaee_m",0.0222090683082751,0.0255695025569503,0.00336043424867513
"Drjalilrahimi",0.00810346868710785,0.0111576011157601,0.00305413242865226
"MashreghNews",0.0639221025216053,0.0669456066945607,0.00302350417295535
"Bahreini_ir",0.00223156150112466,0.00511390051139005,0.00288233901026539
"kolivand98",0.00198887178880076,0.00464900046490005,0.00266012867609929
"MohmmadGhomi",0.00111282111992423,0.00371920037192004,0.0026063792519958
"ahmadsalek_ir",0.00337397892742986,0.00557880055788006,0.0022048216304502
"ebtekarm_ir",0.218663430803836,0.220827522082752,0.00216409127891654
"yagob_shivyari",0.00346868710784894,0.00557880055788006,0.00211011345003112
"BehrouzBonyadi",0.00124304486800047,0.00325430032543003,0.00201125545742956
"AliSari1397",0.00409612880312537,0.00604370060437006,0.00194757180124469
"mohammad_damadi",0.0041494021546111,0.00604370060437006,0.00189429844975896
"X_mahdi_sheikh",0.00229667337516278,0.00418410041841004,0.00188742704324726
"zahrasaei_ir",0.0176689949094353,0.0195258019525802,0.00185680704314489
"homayonhashemi",0.00334438262104889,0.00511390051139005,0.00176951789034116
"abasgoudarzi_ir",0.00162187758967681,0.00325430032543003,0.00163242273575322
"a_alirezabeigi",0.000745826920800284,0.00232450023245002,0.00157867331164974
"Fintribune",0.00685450455783118,0.00836820083682008,0.0015136962789889
"drfalahatpishe",0.00880786077897478,0.0102278010227801,0.00141994024380532
"jalali_kazem",0.00184680951817213,0.00325430032543003,0.0014074908072579
"hamshahrinews",0.0379779803480526,0.0390516039051604,0.00107362355710783
"alilarijany",0.00173434355392447,0.00278940027894003,0.00105505672501556
"ahmadhematii",0.000443944595714455,0.00139470013947001,0.000950755543755559
"IRNA_1313",0.12136261394578,0.122268712226871,0.000906098281091658
"yousefnejad_ir",0.00566473304131644,0.00650860065086007,0.000843867609543621
"aziz_akbariyan",0.000124304486800047,0.000929800092980009,0.000805495606179962
"alikord_ir",0.00201254883390553,0.00278940027894003,0.000776851445034499
"NourianDr",0.000171658577009589,0.000929800092980009,0.00075814151597042
"tajgardoonir",0.000183497099561975,0.000929800092980009,0.000746302993418035
"S_A_Salehi",0.118746300461702,0.119479311947931,0.000733011486228813
"drtorki_ir",0.000207174144666746,0.000929800092980009,0.000722625948313264
"jamali_ir",0.000313720847638215,0.000929800092980009,0.000616079245341794
"dr_hadibahadori",0.000994435894400379,0.00139470013947001,0.000400264245069635
"maghsodi12121",7.69503965905055e-05,0.000464900046490005,0.000387949649899499
"frj_rajabi",0.00103587072333373,0.00139470013947001,0.000358829416136286
"P0kMSy3Q2hWCSNO",0.000112465964247662,0.000464900046490005,0.000352434082242343
"seyed_jasemi",0.000112465964247662,0.000464900046490005,0.000352434082242343
"m_malekshahirad",0.000136143009352433,0.000464900046490005,0.000328757037137572
"adalhashemipour",0.000159820054457204,0.000464900046490005,0.000305079992032801
"anarakimohamadi",0.00062744169527643,0.000929800092980009,0.00030235839770358
"dr_ahmadhamze",0.000201254883390553,0.000464900046490005,0.000263645163099452
"mrezanajafi",0.000674795785485971,0.000929800092980009,0.000255004307494038
"rezakarimi94",0.000224931928495324,0.000464900046490005,0.000239968117994681
"hedayatkhademi",0.000248608973600095,0.000464900046490005,0.00021629107288991
"Gh_mirzaeinikou",0.00071623061441932,0.000929800092980009,0.000213569478560689
"DehghaniKamal",0.000272286018704866,0.000464900046490005,0.000192614027785139
"haj_zareii",0.000319640108914407,0.000464900046490005,0.000145259937575597
"dralirezasalimi",0.000331478631466793,0.000464900046490005,0.000133421415023212
"Ghasemahmadi_ir",0.000899727713981295,0.000929800092980009,3.00723789987142e-05
"karimi_aliakbar",0.000911566236533681,0.000929800092980009,1.82338564463287e-05
"dr_kabirii",0,0,0
"jalilmokhtar",0,0,0
"sh_hasanpour",0,0,0
"ShahramGharravi",0,0,0
"Sohrabgilanii",0,0,0
"mrsabaghian",0.000467621640819226,0.000464900046490005,-2.72159432922111e-06
"AliJali67834940",5.91926127619273e-06,0,-5.91926127619273e-06
"dr_ali_vaghfchi",5.91926127619273e-06,0,-5.91926127619273e-06
"IsaKalantari",5.91926127619273e-06,0,-5.91926127619273e-06
"ahmadali_keikha",1.18385225523855e-05,0,-1.18385225523855e-05
"ghasemsaedi1",1.18385225523855e-05,0,-1.18385225523855e-05
"hasanijoryabi",1.18385225523855e-05,0,-1.18385225523855e-05
"kateb_ir",1.18385225523855e-05,0,-1.18385225523855e-05
"m_hoseini_ir",1.18385225523855e-05,0,-1.18385225523855e-05
"ASobhanifar",1.77577838285782e-05,0,-1.77577838285782e-05
"Mahdi_Farshadan",1.77577838285782e-05,0,-1.77577838285782e-05
"skdelkhosh",1.77577838285782e-05,0,-1.77577838285782e-05
"Dr_m_feizi",2.36770451047709e-05,0,-2.36770451047709e-05
"HNiazazari",2.36770451047709e-05,0,-2.36770451047709e-05
"Dr_Malekshahi",2.95963063809637e-05,0,-2.95963063809637e-05
"mahmoudi_so",2.95963063809637e-05,0,-2.95963063809637e-05
"shahabnaderiii",2.95963063809637e-05,0,-2.95963063809637e-05
"davood_m_ir",3.55155676571564e-05,0,-3.55155676571564e-05
"Drfarhadtajari",3.55155676571564e-05,0,-3.55155676571564e-05
"JalalMahmodzade",3.55155676571564e-05,0,-3.55155676571564e-05
"rahmanifazli",0.000970758849295608,0.000929800092980009,-4.09587563155986e-05
"MansourGholami2",4.73540902095419e-05,0,-4.73540902095419e-05
"homayonyousefi",5.32733514857346e-05,0,-5.32733514857346e-05
"karimi_bijar",5.91926127619273e-05,0,-5.91926127619273e-05
"rasoul_khezri",5.91926127619273e-05,0,-5.91926127619273e-05
"ali__ghorbani",0.0014620575352196,0.00139470013947001,-6.73573957495907e-05
"ilnanews",0.135823369243518,0.135750813575081,-7.25556684370299e-05
"vadeyesadegh1",8.28696578666982e-05,0,-8.28696578666982e-05
"Dr__Osmani",8.8788919142891e-05,0,-8.8788919142891e-05
"Hassan_Kamran_d",0.00102403220078134,0.000929800092980009,-9.42321078013333e-05
"abdullah_sameri",0.000100627441695276,0,-0.000100627441695276
"R_Hazratpour",0.000580087605066888,0.000464900046490005,-0.000115187558576883
"davoodm51495905",0.000118385225523855,0,-0.000118385225523855
"DrRahimZare",0.000118385225523855,0,-0.000118385225523855
"Lahooti_ir",0.000118385225523855,0,-0.000118385225523855
"EttelaatTweet",0.000603764650171659,0.000464900046490005,-0.000138864603681654
"Dr_f_hasanvand",0.000171658577009589,0,-0.000171658577009589
"rezarahmani_ir",0.000645199479105008,0.000464900046490005,-0.000180299432615003
"Zahrasaeedi8",0.000189416360838167,0,-0.000189416360838167
"ramin_nqp",0.00019533562211436,0,-0.00019533562211436
"Tabnak_News",0.00019533562211436,0,-0.00019533562211436
"ahmad_moradi47",0.000201254883390553,0,-0.000201254883390553
"validadashi",0.00069255356931455,0.000464900046490005,-0.000227653522824545
"drpezeshkian_ir",0.00210725701432461,0.00185960018596002,-0.000247656828364594
"NegahbanM",0.000751746182076477,0.000464900046490005,-0.000286846135586472
"ir_aref",0.17240440393039,0.172013017201302,-0.000391386729087784
"mousaviyazd_ir",0.000408429028057298,0,-0.000408429028057298
"naderghazipor",0.00185272877944832,0.00139470013947001,-0.000458028639978311
"khedri_ir",0.00232035042026755,0.00185960018596002,-0.000460750234307532
"A_Yarmohammadi",0.0108085710903279,0.0102278010227801,-0.000580770067547825
"k_karampour",0.0087131525985557,0.00790330079033008,-0.00080985180822562
"asrirannews",0.00388895465845862,0.00278940027894003,-0.0010995543795186
"P_Salahshouri",0.0962590268734462,0.094839609483961,-0.00141941738948524
